,rmse_avg,rmse_std,mae_avg,mae_std,r2,r2_std,pc-er_avg,pc-er_std,doa,doa_std,rm,rm_std,d_in,num_responses,exec_time,exec_time_avg,exec_time_std
325,0.2769,0.0027,0.1919,0.0015,0.2865,0.0166,0.4817,0.0074,0.6538,0.0024,0.4917,0.0077,10.0,12.0,277.4233908653259,277.4233908653259,55.481722729133224
326,0.2777,0.0016,0.1921,0.0015,0.2822,0.0111,0.4816,0.0082,0.6539,0.0026,0.4916,0.0082,10.0,13.0,296.8370635509491,296.8370635509491,59.30731695307274
327,0.2775,0.0009,0.192,0.0012,0.2837,0.007,0.4802,0.0082,0.6536,0.0027,0.4905,0.0089,10.0,14.0,336.1108479499817,336.1108479499817,67.15116384378527
328,0.2915,0.0018,0.1996,0.0017,0.2096,0.0133,0.493,0.0093,0.656,0.0033,0.5034,0.0101,11.0,5.0,389.4027132987976,389.4027132987976,77.50207028109605
329,0.2887,0.002,0.1972,0.0016,0.2243,0.0137,0.4896,0.0089,0.6554,0.0027,0.4999,0.0093,11.0,6.0,269.51546144485474,269.51546144485474,53.86752966023035
330,0.2845,0.0024,0.1944,0.0011,0.247,0.0157,0.4893,0.01,0.6555,0.003,0.4997,0.0103,11.0,7.0,292.573121547699,292.573121547699,58.56482393274146
331,0.2839,0.0018,0.1939,0.0007,0.2498,0.0127,0.4878,0.0087,0.6552,0.0027,0.4984,0.0092,11.0,8.0,293.6011166572571,293.6011166572571,58.93117491648748
332,0.2821,0.0017,0.1936,0.0013,0.2594,0.0107,0.486,0.0085,0.6549,0.0026,0.4961,0.0087,11.0,9.0,291.31865096092224,291.31865096092224,58.45573974041444
333,0.2806,0.0014,0.1926,0.0011,0.2675,0.0091,0.4849,0.0083,0.6548,0.0027,0.4954,0.0089,11.0,10.0,293.65111112594604,293.65111112594604,58.64692240870187
334,0.2796,0.0017,0.1925,0.0013,0.2726,0.0107,0.4833,0.0085,0.6542,0.0027,0.4934,0.0089,11.0,11.0,273.85377311706543,273.85377311706543,54.715390024458316
335,0.2779,0.0016,0.1921,0.0013,0.2815,0.0095,0.4822,0.0087,0.6541,0.0029,0.4926,0.0091,11.0,12.0,305.51525831222534,305.51525831222534,61.32783272356796
336,0.2786,0.0025,0.1923,0.0016,0.278,0.0158,0.4817,0.0077,0.6535,0.0023,0.4919,0.008,11.0,13.0,289.51651668548584,289.51651668548584,57.868610557682594
337,0.2763,0.0009,0.1923,0.0013,0.2896,0.0022,0.4798,0.0079,0.6536,0.0026,0.4899,0.0083,11.0,14.0,319.94308066368103,319.94308066368103,63.88661022478509
